,Unnamed: 0,market_date,company_symbol,news_id,headline,is_volatile
0,0,2012-05-17,A,c995515e-7529-483c-9afd-dfea564e98a5,agilent buy dako 2 2 billion,0
1,1,2012-05-18,A,7f96d8de-e07a-41e1-9043-b8921df3e354,dealbook online,1
2,2,2010-10-11,AAL,0764d9ba-f41b-47d2-8568-aee3e3b74cb7,flying fewer planes airlines find stability,0
4,4,2010-12-22,AAL,64a4f85f-f214-45c0-bed0-40dccf0c612a,american airlines leaves orbitz,0
5,5,2011-01-03,AAL,e376fc7f-8ce0-40c0-822f-4a882f9e2b8d,american airlines barred safety board inquiry,1
6,6,2011-01-05,AAL,3f461bb9-e363-45ca-8b04-3cb2c5c010f0,american airlines fee battle web agencies,1
9,9,2011-03-08,AAL,cbc1d7c0-95a9-4069-8d13-ab4b25d6fdf7,flight here everywhere but new york ,1
10,10,2011-03-16,AAL,9cd80ba2-4bdb-4ca8-8e03-6361772dae4d,airlines serving japan adjust schedules stops,1
11,11,2011-04-05,AAL,45b14d0b-4481-4114-bd4c-303c6cb222c8,expedia american fare agreement,1
12,12,2011-04-12,AAL,e4f63953-7c08-4956-a3cf-5eff95cd034b,renovation terminal keyed san francisco,0
13,13,2011-04-14,AAL,7fed6b23-6041-480b-a4f3-8c6b2706b0db,american airlines sues ticket distribution,0
14,14,2011-05-05,AAL,8ef98214-5a69-4cc4-be8a-6699dacab86e,man another season   frank langella returning broadway man boy ,1
15,15,2011-05-16,AAL,e244b7bc-a04b-4be8-88ce-5b2331a76e9f,american offer streaming entertainment,1
16,16,2011-05-16,AAL,502f08c0-7dd2-42a1-a413-cb9ec7fcf38c,american airlines tests in   flight streaming video,1
18,18,2011-07-21,AAL,5681503b-59dd-4089-ab81-7a38df025a95,jet order american coup boeing rival,0
19,19,2011-07-28,AAL,c9a94673-c3e4-478e-a5c9-f7a86050459f,improved sales help boeing beat forecasts,1
20,20,2011-08-01,AAL,4f41c8c9-28c0-4baf-a985-be3f5acf618f,american airlines hopes b a merger,1
21,21,2011-08-11,AAL,5a9a52ad-facc-4240-a1be-36329f5af856,amr plans american eagle spinoff,1
22,22,2011-08-30,AAL,c73060ec-2423-497e-9194-56ebca43d388,airlines fared hurricane irene test,0
23,23,2011-09-08,AAL,fe066a70-afd4-4688-a986-7c6d0cd938cd,9 11 tapes   story air,0
26,26,2011-10-04,AAL,8c00120d-59c0-4224-8fea-007017ce14ee,american airlines bankruptcy fears drive stock,1
27,27,2011-10-19,AAL,4d3a28eb-cedb-4292-9665-99d0e41d76a3,airlines battle back profit fare fee time,1
28,28,2011-10-20,AAL,531460ab-3e6f-4eae-b261-77e1803015ee,fuel costs contribute wider loss amr,1
29,29,2011-10-26,AAL,404eb045-d2cb-4003-88a1-6eb25fe25184,gupta arrest insider inquiry goes beyond wall st ,0
30,30,2011-10-31,AAL,bfcbf068-2781-4acb-946c-48488bd1472b,new variation boarding airplane,1
31,31,2011-10-31,AAL,7358e9a4-372c-400b-b016-95860dc2e737,7   hour wait tarmac near hartford,1
33,33,2011-11-15,AAL,1aa7a0a3-bcd4-43b0-8422-4f7fad7fa8ec,sending harsh message american issues first fine tarmac delays,1
34,34,2011-11-30,AAL,90a155e2-c847-4b6f-b30c-4572a094734f,chapter 11 bid cut costs american airlines,1
35,35,2011-11-29,AAL,6cc7983d-68d8-4533-ac3c-dabe059d9e51,timescast november 29 2011,1
36,36,2011-11-29,AAL,875515f9-602b-478f-9b20-dde5cb7db87a,amr filing 2nd   largest american airline,1
37,37,2011-11-29,AAL,6a896f08-0568-4d90-b1af-2a6946f3400f,american airlines parent files bankruptcy,1
